iter	RMSE
0	0.9579866848
1	0.9195192298
2	0.8860295862
3	0.8552237026
4	0.8262817768
5	0.7995746173
6	0.7765343386
7	0.7544273478
8	0.7358304349
9	0.7183826151
10	0.7019796301
11	0.6875884743
12	0.6750949511
13	0.6638051785
14	0.653542013
15	0.6444851576
16	0.6363529
17	0.6284220113
18	0.6213710532
19	0.6156045035
20	0.6096265961
21	0.6042157062
22	0.5996208057
23	0.5955583828
24	0.591647033
25	0.5884037154
26	0.5850348857
27	0.5816898123
28	0.5784161777
29	0.5759378022
30	0.5733049816
31	0.5712867824
32	0.5694440358
33	0.5676373234
34	0.5656519254
35	0.5639909585
36	0.5625004287
37	0.5607617461
38	0.5594726028
39	0.5580174288
40	0.5570870694
41	0.5558800141
42	0.5547400875
43	0.5538004248
44	0.5526949223
45	0.5518126442
46	0.5511250111
47	0.5503870254
48	0.5497290832
49	0.5488006462
50	0.5479135535
51	0.5473873568
52	0.5466091437
53	0.5459966479
54	0.5455397383
55	0.5448463287
56	0.5443502052
57	0.5436805205
58	0.5428417146
59	0.5424560151
60	0.5419292538
61	0.5415044671
62	0.541002789
63	0.5402802365
64	0.5397622672
65	0.539441485
66	0.5387957637
67	0.5382388099
68	0.537881864
69	0.5374805867
70	0.5369340092
71	0.5364745119
72	0.5360680194
73	0.5357669812
74	0.5353717242
75	0.5350713824
76	0.5345799786
77	0.5342032934
78	0.5336516066
79	0.5333230585
80	0.5330223996
81	0.532636796
82	0.5320729575
83	0.5317763295
84	0.531513814
85	0.5311892794
86	0.530932026
87	0.5306038853
88	0.5302240133
89	0.5300268174
90	0.5296572649
91	0.5294763436
92	0.5293082891
93	0.5289882928
94	0.5286695777
95	0.5283241212
96	0.5281088403
97	0.5279560651
98	0.5278081827
99	0.5276185639
100	0.5271925025
101	0.5270373731
102	0.5267490692
103	0.5264050889
104	0.5262300464
105	0.5260132533
106	0.5258099855
107	0.5255628622
108	0.525341125
109	0.525090632
110	0.5248835976
111	0.5246527712
112	0.5245416174
113	0.524263357
114	0.5240047569
115	0.5237292385
116	0.5234694907
117	0.5233013894
118	0.523173468
119	0.5229361843
120	0.5227006808
121	0.5224640455
122	0.5222924816
123	0.5220586561
124	0.5218154907
125	0.5215981534
126	0.5214686366
127	0.5212858832
128	0.5210102947
129	0.5207432928
130	0.5205960056
131	0.5204422723
132	0.5202748795
133	0.5200604122
134	0.5199562902
135	0.5198122034
136	0.5196084225
137	0.5194340494
138	0.5192317266
139	0.5191398774
140	0.5188758695
141	0.5187347129
142	0.5185652812
143	0.5184259541
144	0.5182171407
145	0.5179876453
146	0.5177793299
147	0.5175521872
148	0.5172850693
149	0.5171164904
150	0.5169296866
151	0.5167390968
152	0.516564371
153	0.5163394929
154	0.5161650412
155	0.5160341411
156	0.51584123
157	0.5157150321
158	0.5155986891
159	0.5154332446
160	0.5152768596
161	0.5150301026
162	0.5148793587
163	0.5146956908
164	0.5145437642
165	0.5142798685
166	0.5141167656
167	0.5139304736
168	0.5137804883
169	0.513700029
170	0.5135447876
171	0.5133336692
172	0.513198553
173	0.513040378
174	0.5128656363
175	0.5126308986
176	0.5124555851
177	0.512296402
178	0.5121953405
179	0.5119469845
180	0.5117982796
181	0.5116004762
182	0.511422105
183	0.5112885691
184	0.5112127689
185	0.5110440336
186	0.5109424957
187	0.5108251748
188	0.5106441732
189	0.5104106456
190	0.5102751995
191	0.5102072593
192	0.5101284014
193	0.5099322569
194	0.5098076823
195	0.5097049507
196	0.5095310988
197	0.5094642467
198	0.5093399745
199	0.5092132236
200	0.5090762867
201	0.5089206555
202	0.5088098341
203	0.5086517776
204	0.5084718251
205	0.5083503802
206	0.5082546843
207	0.5080541508
208	0.5078897817
209	0.5077871415
210	0.507546269
211	0.5074412866
212	0.5073302985
213	0.50721563
214	0.5070647681
215	0.5070063993
216	0.5068022456
217	0.5066530242
218	0.5064714521
219	0.5063297054
220	0.5062331583
221	0.5060876567
222	0.5059763369
223	0.5057903323
224	0.5056195514
225	0.5054736273
226	0.5053153387
227	0.5052589167
228	0.5050665907
229	0.5049752339
230	0.5048961138
231	0.5048186689
232	0.5046267738
233	0.5045394861
234	0.5044964032
235	0.5044021328
236	0.5043068955
237	0.5041333185
238	0.5039983538
239	0.5039261384
240	0.5038045602
241	0.5036330285
242	0.5035338107
243	0.5033786671
244	0.5032150064
245	0.5030855986
246	0.5029598143
247	0.5028863908
248	0.5028223198
249	0.502761769
250	0.5026417702
251	0.5025171746
252	0.502393836
253	0.5022515054
254	0.502137391
255	0.5020192816
256	0.5019553499
257	0.5017995598
258	0.5016135921
259	0.5015097562
260	0.5014107701
261	0.5013127591
262	0.5011202587
263	0.5010167005
264	0.5008964496
265	0.5007690881
266	0.500680141
267	0.5006210592
268	0.5005358747
269	0.5004311321
270	0.5003617927
271	0.5002860269
272	0.5002040279
273	0.5000930282
274	0.4999899223
275	0.4998152669
276	0.4997204906
277	0.4996198717
278	0.499482607
279	0.4993763024
280	0.4992028483
281	0.499113022
282	0.4990241951
283	0.4988787112
284	0.4987204875
285	0.4986462161
286	0.4985546271
287	0.4984429966
288	0.4983459786
289	0.4981707706
290	0.4980478985
291	0.4979163764
292	0.4977787275
293	0.4976345083
294	0.4975156708
295	0.4973970411
296	0.4973090563
297	0.4971854697
298	0.497091292
299	0.4969949482
300	0.4968805801
301	0.4968197233
302	0.4967400991
303	0.4965859175
304	0.4965051122
305	0.4964237109
306	0.4963233874
307	0.4962394748
308	0.4960742829
309	0.4959687252
310	0.4959021736
311	0.4957695413
312	0.4956318906
313	0.4955194254
314	0.4953972575
315	0.4953110359
316	0.4952127234
317	0.495098448
318	0.4950331001
319	0.4948799369
