iter	Passed	Remaining
0	154	153876
1	158	79325
2	164	54531
3	169	42093
4	173	34584
5	178	29625
6	185	26298
7	190	23671
8	196	21671
9	202	20059
10	208	18752
11	213	17619
12	219	16692
13	226	15928
14	231	15180
15	236	14517
16	241	13941
17	245	13406
18	250	12931
19	255	12512
20	260	12121
21	264	11774
22	269	11460
23	274	11170
24	279	10892
25	284	10643
26	288	10409
27	293	10189
28	298	9995
29	303	9803
30	308	9627
31	312	9466
32	317	9306
33	322	9163
34	327	9029
35	332	8902
36	337	8775
37	342	8667
38	347	8555
39	352	8449
40	357	8359
41	362	8264
42	367	8175
43	372	8098
44	377	8017
45	383	7943
46	388	7870
47	392	7793
48	397	7719
49	403	7657
50	408	7606
51	414	7552
52	419	7498
53	425	7451
54	431	7412
55	436	7355
56	441	7301
57	445	7243
58	450	7190
59	455	7142
60	460	7090
61	465	7041
62	470	6996
63	475	6948
64	479	6903
65	484	6856
66	489	6812
67	494	6772
68	498	6729
69	503	6686
70	508	6654
71	513	6616
72	518	6580
73	523	6546
74	527	6511
75	532	6473
76	537	6442
77	542	6410
78	546	6376
79	551	6346
80	556	6315
81	561	6283
82	566	6255
83	570	6225
84	575	6195
85	580	6168
86	585	6144
87	590	6115
88	595	6092
89	600	6070
90	605	6050
91	611	6033
92	616	6016
93	622	6001
94	627	5982
95	632	5960
96	637	5939
97	643	5921
98	648	5900
99	653	5884
100	658	5864
101	663	5844
102	669	5828
103	674	5810
104	679	5789
105	684	5769
106	688	5747
107	693	5725
108	698	5706
109	702	5684
110	707	5663
111	711	5643
112	716	5623
113	721	5605
114	725	5586
115	730	5567
116	735	5550
117	740	5533
118	745	5516
119	749	5498
120	754	5479
121	759	5463
122	763	5444
123	768	5426
124	772	5409
125	777	5393
126	782	5377
127	786	5360
128	792	5351
129	798	5342
130	803	5329
131	808	5318
132	815	5315
133	822	5315
134	831	5324
135	839	5330
136	845	5326
137	851	5317
138	856	5304
139	862	5299
140	870	5304
141	879	5312
142	886	5311
143	893	5312
144	903	5326
145	909	5317
146	915	5311
147	923	5314
148	930	5316
149	939	5322
150	947	5325
151	954	5325
152	962	5330
153	969	5328
154	976	5325
155	983	5321
156	990	5317
157	997	5315
158	1005	5319
159	1012	5313
160	1017	5304
161	1023	5296
162	1030	5289
163	1035	5280
164	1041	5270
165	1046	5259
166	1051	5245
167	1056	5233
168	1061	5221
169	1066	5208
170	1072	5199
171	1077	5188
172	1083	5178
173	1088	5168
174	1093	5157
175	1099	5147
176	1104	5136
177	1109	5125
178	1115	5115
179	1120	5104
180	1125	5094
181	1131	5084
182	1136	5074
183	1142	5065
184	1147	5057
185	1153	5046
186	1158	5035
187	1165	5032
188	1171	5025
189	1176	5015
190	1181	5005
191	1187	4995
192	1192	4986
193	1198	4978
194	1203	4968
195	1209	4959
196	1214	4951
197	1220	4943
198	1226	4936
199	1231	4926
200	1237	4918
201	1242	4907
202	1247	4896
203	1252	4888
204	1258	4879
205	1263	4870
206	1269	4862
207	1274	4854
208	1280	4845
209	1285	4836
210	1291	4829
211	1297	4821
212	1302	4812
213	1308	4807
214	1315	4802
215	1321	4795
216	1327	4788
217	1333	4784
218	1340	4778
219	1346	4774
220	1352	4767
221	1359	4762
222	1364	4755
223	1371	4750
224	1377	4745
225	1383	4739
226	1390	4736
227	1396	4728
228	1403	4723
229	1409	4718
230	1416	4714
231	1422	4710
232	1428	4703
233	1434	4695
234	1439	4686
235	1445	4679
236	1451	4673
237	1457	4666
238	1462	4657
239	1468	4649
240	1473	4640
241	1478	4631
242	1483	4622
243	1489	4615
244	1495	4608
245	1500	4599
246	1506	4591
247	1511	4583
248	1517	4575
249	1522	4568
250	1528	4560
251	1533	4552
252	1539	4544
253	1544	4537
254	1550	4530
255	1556	4523
256	1561	4515
257	1568	4510
258	1573	4502
259	1579	4495
260	1585	4489
261	1591	4481
262	1598	4479
263	1604	4472
264	1610	4467
265	1617	4464
266	1624	4459
267	1630	4453
268	1636	4447
269	1642	4441
270	1648	4434
271	1654	4427
272	1660	4421
273	1666	4415
274	1673	4411
275	1679	4405
276	1684	4397
277	1690	4389
278	1695	4381
279	1701	4375
280	1706	4367
281	1712	4359
282	1717	4351
283	1723	4344
284	1728	4336
285	1734	4329
286	1739	4322
287	1745	4315
288	1751	4307
289	1756	4300
290	1762	4293
291	1767	4285
292	1773	4278
293	1779	4272
294	1784	4264
295	1790	4258
296	1795	4250
297	1801	4244
298	1808	4240
299	1815	4235
300	1821	4229
301	1827	4223
302	1834	4220
303	1841	4215
304	1847	4209
305	1852	4202
306	1858	4196
307	1864	4190
308	1870	4183
309	1876	4175
310	1881	4169
311	1887	4162
312	1893	4155
313	1899	4149
314	1905	4144
315	1915	4146
316	1925	4148
317	1935	4150
318	1943	4149
319	1952	4149
320	1961	4149
321	1971	4150
322	1979	4149
323	1987	4146
324	1995	4144
325	2006	4149
326	2016	4149
327	2036	4172
328	2043	4168
329	2052	4166
330	2059	4162
331	2065	4155
332	2071	4148
333	2077	4141
334	2083	4134
335	2088	4127
336	2094	4120
337	2099	4112
338	2105	4105
339	2111	4098
340	2116	4090
341	2122	4083
342	2128	4076
343	2133	4068
344	2138	4060
345	2144	4052
346	2149	4045
347	2155	4038
348	2161	4031
349	2167	4025
350	2172	4017
351	2178	4009
352	2184	4003
353	2189	3995
354	2194	3987
355	2200	3980
356	2206	3973
357	2211	3966
358	2217	3960
359	2224	3954
360	2244	3973
361	2250	3966
362	2256	3960
363	2262	3953
364	2268	3945
365	2273	3938
366	2279	3932
367	2285	3925
368	2291	3917
369	2296	3910
370	2302	3904
371	2308	3897
372	2314	3890
373	2319	3883
374	2325	3876
375	2331	3869
376	2336	3861
